Date,AO,AAO,NAO,PNA
1979-01-01,-2.2328,0.2088,-1.38,-0.69
1979-02-01,-0.6967,0.3563,-0.67,-1.82
1979-03-01,-0.8141,0.8992,0.78,0.38
1979-04-01,-1.1568,0.6776,-1.71,0.09
1979-05-01,-0.2501,0.7237,-1.03,1.35
1979-06-01,0.9332,1.7,1.6,-1.64
1979-07-01,0.0385,2.4121,0.83,0.99
1979-08-01,-0.6841,0.5455,0.96,0.7
1979-09-01,-0.0459,0.6295,1.01,1.28
1979-10-01,-1.2434,0.1598,-0.3,1.53
1979-11-01,0.4751,-0.4225,0.53,0.54
1979-12-01,1.2948,-0.9507,1.0,-0.38
1980-01-01,-2.0657,-0.447,-0.75,-0.28
1980-02-01,-0.9337,-0.9797,0.05,1.74
1980-03-01,-1.4333,-1.4244,-0.31,-0.35
1980-04-01,-0.4191,-2.0682,1.29,1.96
1980-05-01,-1.1548,-0.4787,-1.5,-0.28
1980-06-01,0.7215,0.2857,-0.37,-0.86
1980-07-01,-0.6222,-1.9439,-0.42,-0.42
1980-08-01,-0.1852,-0.9968,-2.24,-1.99
1980-09-01,0.3126,-1.7008,0.66,-0.05
1980-10-01,-0.5212,0.5774,-1.77,2.45
1980-11-01,-1.361,-2.0129,-0.37,1.35
1980-12-01,-0.0573,-0.3563,0.78,-0.27
1981-01-01,-0.1163,0.2305,0.37,2.42
1981-02-01,-0.3316,0.0393,0.92,0.38
1981-03-01,-1.6447,-0.9655,-1.19,1.6
1981-04-01,0.4304,-1.462,0.36,-1.02
1981-05-01,0.1796,-0.344,0.2,1.98
1981-06-01,-0.4379,0.3517,-0.45,-0.2
1981-07-01,0.5605,-0.9859,0.05,-0.64
1981-08-01,-0.2441,-2.1183,0.39,-1.5
1981-09-01,-1.0401,-1.5094,-1.45,0.15
1981-10-01,-1.1675,-0.2603,-1.35,-1.45
1981-11-01,-0.1877,0.6256,-0.38,1.26
1981-12-01,-1.2157,1.1164,-0.02,-0.12
1982-01-01,-0.8834,-0.5544,-0.89,-0.86
1982-02-01,0.9739,0.2772,1.15,-0.68
1982-03-01,1.0741,1.6035,1.15,-1.4
1982-04-01,1.4538,1.5314,0.1,-1.89
1982-05-01,-0.2087,0.1179,-0.53,-0.7
